Model,RMSE,MAE,MAPE,R²
Naive (Last Week),389.07172243020335,296.4935064935065,11.971522781803873,0.873623996835885
Gradient Boosting,422.4400457095653,318.22010750639095,13.58783341313903,0.8510174365358525
Random Forest,438.4981776758336,353.50193828826286,15.04748006867187,0.8394756697885999
XGBoost (Tuned),449.8731739126109,351.69517299107144,14.241208156408499,0.8310393878114967
XGBoost,471.9494432480702,361.79685280539775,14.57504311979424,0.8140499767554411
4-Week Moving Average,609.8126135964217,477.09090909090907,19.226378419154766,0.6895454085066658
Lasso Regression,887.3297135533926,821.2432069245583,36.97134143822192,0.34268229492057034
Ridge Regression,1465.8069375283576,1393.317938957423,60.818301803777494,-0.7937372474079729
Linear Regression,2182.7497255866406,1784.3106019936517,69.26467028552348,-2.977527265596888
