Date,SCFI_Index,Europe_Base_Price
2022-07-08,4143.87,5697
2022-07-15,4074.7,5612
2022-07-22,3996.77,5570
2022-07-29,3887.85,5416
2022-08-05,3739.72,5166
2022-08-12,3562.67,4971
2022-08-19,3429.83,4788
2022-08-26,3154.26,4441
2022-09-02,2847.62,4252
2022-09-09,2562.12,3877
2022-09-16,2312.65,3545
2022-09-23,2072.04,3163
2022-09-30,1922.95,2950
2022-10-14,1814.0,2581
2022-10-21,1778.69,2379
2022-10-28,1697.65,2102
2022-11-04,1579.21,1763
2022-11-11,1443.29,1478
2022-11-18,1306.84,1172
2022-11-25,1229.9,1100
2022-12-02,1171.36,1085
2022-12-09,1138.09,1047
2022-12-16,1123.29,1050
2022-12-23,1107.09,1049
2022-12-30,1107.55,1078
2023-01-06,1061.14,1050
2023-01-13,1031.42,1020
2023-01-20,1029.75,1014
2023-02-03,1006.89,961
2023-02-10,995.16,925
2023-02-17,974.66,910
2023-02-24,946.68,882
2023-03-03,931.08,865
2023-03-10,906.55,865
2023-03-17,909.72,878
2023-03-24,908.35,884
2023-03-31,923.78,863
2023-04-07,956.93,877
2023-04-14,1033.65,871
2023-04-21,1037.07,883
2023-04-28,999.73,881
2023-05-05,998.29,875
2023-05-12,983.41,870
2023-05-19,972.45,869
2023-05-26,983.46,859
2023-06-02,1028.7,846
2023-06-09,979.85,831
2023-06-16,934.31,808
2023-06-21,924.29,793
2023-06-30,953.6,763
2023-07-07,931.73,740
2023-07-14,979.11,738
2023-07-21,966.45,742
2023-07-28,1029.23,975
2023-08-04,1039.32,947
2023-08-11,1043.54,926
2023-08-18,1031.0,852
2023-08-25,1013.78,802
2023-09-01,1033.67,768
2023-09-08,999.25,714
2023-09-15,948.68,658
2023-09-22,911.71,623
2023-09-28,886.85,599
2023-10-13,891.55,562
2023-10-20,917.66,581
2023-10-27,1012.6,769
2023-11-03,1067.88,756
2023-11-10,1030.24,722
2023-11-17,999.92,707
2023-11-24,993.21,779
2023-12-01,1010.81,851
2023-12-08,1032.21,925
2023-12-15,1093.52,1029
2023-12-22,1254.99,1497
2023-12-29,1759.58,2694
2024-01-05,1896.65,2871
2024-01-12,2206.03,3103
2024-01-19,2239.61,3030
2024-01-26,2179.09,2861
2024-02-02,2217.73,2723
2024-02-09,2166.31,2648
2024-02-23,2109.91,2508
2024-03-01,1979.12,2277
2024-03-08,1885.74,2134
2024-03-15,1772.92,1971
2024-03-22,1732.57,1943
2024-03-29,1730.98,1994
2024-04-03,1745.43,1997
2024-04-12,1757.04,1971
2024-04-19,1769.54,1971
2024-04-26,1940.63,2300
2024-05-10,2305.79,2869
2024-05-17,2520.76,3050
2024-05-24,2703.43,3409
2024-05-31,3044.77,3740
2024-06-07,3184.87,3949
2024-06-14,3379.22,4179
2024-06-21,3475.6,4336
2024-06-28,3714.32,4880
2024-07-05,3733.8,4857
2024-07-12,3674.86,5051
2024-07-19,3542.44,5000
2024-07-26,3447.87,4991
2024-08-02,3332.67,4907
2024-08-09,3253.89,4786
2024-08-16,3281.36,4610
2024-08-23,3097.63,4400
2024-08-30,2963.38,3876
2024-09-06,2726.58,3459
2024-09-13,2510.95,2841
2024-09-20,2366.24,2592
2024-09-27,2135.08,2250
2024-10-11,2062.57,2040
2024-10-18,2062.15,1950
2024-10-25,2185.33,2226
2024-11-01,2303.44,2442
2024-11-08,2331.58,2541
2024-11-15,2251.9,2512
2024-11-22,2160.08,2481
2024-11-29,2233.83,3039
2024-12-06,2256.46,3030
2024-12-13,2384.4,2963
2024-12-20,2390.17,2946
2024-12-27,2460.34,2962
2025-01-03,2505.17,2851
2025-01-10,2290.68,2440
2025-01-17,2130.82,2279
2025-01-24,2045.45,2147
2025-02-07,1896.65,1805
2025-02-14,1758.82,1608
2025-02-21,1595.08,1578
2025-02-28,1515.29,1693
2025-03-07,1436.3,1582
2025-03-14,1319.34,1342
2025-03-21,1292.75,1306
2025-03-28,1356.88,1318
2025-04-03,1392.78,1336
2025-04-11,1394.68,1356
2025-04-18,1370.58,1316
2025-04-25,1347.84,1260
2025-04-30,1340.93,1200
2025-05-09,1345.17,1161
2025-05-16,1479.39,1154
2025-05-23,1586.12,1317
2025-05-30,2072.71,1587
2025-06-06,2240.35,1667
2025-06-13,2088.24,1844
2025-06-20,1869.59,1835
2025-06-27,1861.51,2030
2025-07-04,1763.49,2101
2025-07-11,1733.29,2099
2025-07-18,1646.9,2079
2025-07-25,1592.59,2090
2025-08-01,1550.74,2051
2025-08-08,1489.68,1961
2025-08-15,1460.19,1820
2025-08-22,1415.36,1668
