date,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,portcalls_container_norm
2019-01-04 00:00:00+00:00,13.0,0.5,0.25,0.0,0.75,13.75,14.5,1576738.7020986471,0.0,321.376435526603,0,3023.77615525489,1577060.078534174,1580083.854689429,1741520.560308645,0.0,1550.92576148691,0,4472.588817780756,1743071.4860701319,1747544.074887912,0.6660261879013494
2019-01-11 00:00:00+00:00,12.428571428571429,0.42857142857142855,0.42857142857142855,0.0,0.7142857142857143,13.285714285714286,14.0,3594121.509032317,0.0,0.0,0,99374.41728408956,3594121.509032317,3693495.926316407,3199738.214778393,0.0,5557.76783634014,0,0.0,3205295.9826147333,3205295.9826147333,0.27301569355295047
2019-01-18 00:00:00+00:00,12.428571428571429,0.14285714285714285,0.2857142857142857,0.0,0.7142857142857143,12.857142857142858,13.571428571428571,2947090.7023883546,0.0,0.0,0,2723.19350129684,2947090.7023883546,2949813.8958896515,2844230.919842158,0.0,6907.09278697749,0,3525.871505991643,2851138.012629135,2854663.884135126,0.27301569355295047
2019-01-25 00:00:00+00:00,11.857142857142858,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,12.714285714285714,13.571428571428571,2350131.950842797,0.0,0.0,0,23347.5305582598,2350131.950842797,2373479.481401057,3465481.357990108,0.0,1344.3527248416,0,2646.0839370838303,3466825.71071495,3469471.794652033,-0.11999480079544846
2019-02-01 00:00:00+00:00,11.714285714285714,0.42857142857142855,0.2857142857142857,0.0,1.1428571428571428,12.428571428571429,13.571428571428571,2186723.326168498,0.0,0.0,0,168947.0140131145,2186723.326168498,2355670.3401816133,3517890.462474925,0.0,5557.76783634014,0,9943.25247662123,3523448.230311265,3533391.4827878857,-0.2182474243825491
2019-02-08 00:00:00+00:00,11.571428571428571,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,12.428571428571429,12.857142857142858,1593533.4963907052,0.0,0.0,0,105242.16217422219,1593533.4963907052,1698775.658564928,3199132.33342171,0.0,4662.374093231,0,0.0,3203794.7075149408,3203794.7075149408,-0.31650004796964853
2019-02-15 00:00:00+00:00,8.714285714285714,0.42857142857142855,0.2857142857142857,0.0,0.7142857142857143,9.428571428571429,10.142857142857142,1761045.8231307794,0.0,0.0,0,119018.7637427682,1761045.8231307794,1880064.5868735474,1573418.5434567,0.0,0.0,0,2231.34135759125,1573418.5434567,1575649.884814291,-2.2815525197116444
2019-02-22 00:00:00+00:00,10.571428571428571,0.14285714285714285,0.42857142857142855,0.0,0.5714285714285714,11.142857142857142,11.714285714285714,2797370.054182071,0.0,0.0,0,81604.11091922678,2797370.054182071,2878974.165101298,2734531.899800438,0.0,5557.76783634014,0,2235.09352335422,2740089.6676367777,2742324.761160133,-1.0042684130793469
2019-03-01 00:00:00+00:00,10.857142857142858,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,11.428571428571429,12.0,2977901.1141255302,0.0,0.0,0,115647.3488006412,2977901.1141255302,3093548.4629261717,2740490.582460571,0.0,0.0,0,3181.62820046992,2740490.582460571,2743672.21066104,-0.8077631659051469
2019-03-08 00:00:00+00:00,11.857142857142858,0.5714285714285714,0.2857142857142857,0.0,1.0,12.714285714285714,13.714285714285714,3036158.6178502087,0.0,321.376435526603,0,82209.63288640098,3036479.994285735,3118689.6271721367,2826325.348578073,0.0,1550.92576148691,0,20466.95389764166,2827876.27433956,2848343.228237203,-0.11999480079544846
2019-03-15 00:00:00+00:00,12.714285714285714,0.2857142857142857,0.2857142857142857,0.0,0.5714285714285714,13.285714285714286,13.857142857142858,2847859.1785322838,0.0,0.0,0,48068.95155994096,2847859.1785322838,2895928.130092224,3752664.954887389,0.0,6006.7268180726,0,173407.030296563,3758671.681705462,3932078.712002025,0.4695209407271493
2019-03-22 00:00:00+00:00,11.285714285714286,0.14285714285714285,0.7142857142857143,0.0,0.7142857142857143,12.142857142857142,12.857142857142858,2548740.6733225356,0.0,321.376435526603,0,140992.1886421895,2549062.0497580627,2690054.238400252,3568154.128985411,0.0,1550.92576148691,0,15931.29061088698,3569705.054746898,3585636.345357785,-0.5130052951438474
2019-03-29 00:00:00+00:00,11.714285714285714,0.14285714285714285,0.42857142857142855,0.0,0.8571428571428571,12.285714285714286,13.142857142857142,4050039.5053599253,0.0,0.0,0,81937.7618537076,4050039.5053599253,4131977.26721363,3161761.937647921,0.0,6006.7268180726,0,77219.7964688818,3167768.6644659927,3244988.4609348737,-0.2182474243825491
2019-04-05 00:00:00+00:00,12.571428571428571,0.2857142857142857,0.42857142857142855,0.0,1.0,13.285714285714286,14.285714285714286,3575887.201824652,758.535971763718,0.0,0,117279.79681624028,3576645.737796415,3693925.5346126556,3729741.291928724,0.0,0.0,0,10756.56896397757,3729741.291928724,3740497.860892702,0.3712683171400499
2019-04-12 00:00:00+00:00,10.857142857142858,0.2857142857142857,0.5714285714285714,0.0,0.42857142857142855,11.714285714285714,12.142857142857142,2488480.8011132693,0.0,0.0,0,195873.2008419038,2488480.8011132693,2684354.001955174,3533678.13984482,0.0,0.0,0,0.0,3533678.13984482,3533678.13984482,-0.8077631659051469
