date,region,ISO3,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
2019-04-12,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-04-19,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-04-26,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-05-03,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-05-10,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-05-17,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-05-24,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-05-31,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-06-07,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-06-14,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-06-21,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-06-28,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-07-05,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-07-12,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-07-19,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-07-26,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-08-02,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-08-09,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-08-16,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-08-23,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-08-30,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-09-06,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-09-13,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-09-20,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-09-27,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-10-04,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-10-11,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-10-18,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-10-25,China,CHN,6388.0,2316.0,5608.0,452.0,4772.0,43369002.8307744,16048787.8400295,171439426.278022,63519708.0313772,74904210.5892973,96724335.9313282,3661006.1932822,3292372.15739442,237832.573640392,305087.796240362,104.381826222776,100.640893417082,99.9167397860227,103.260289184574,101.925654865145,101.588514485298,2914.0
2019-11-01,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-11-08,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-11-15,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-11-22,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-11-29,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-12-06,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-12-13,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-12-20,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2019-12-27,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
2020-01-03,China,CHN,6205.0,2200.0,5754.0,452.0,4698.0,40218689.5807633,13745896.0290801,177241645.333516,64330767.0348942,71069623.4121827,95961810.8517916,3813426.68786864,3380154.80624433,246458.22918206,299847.26492412,98.2332768626903,98.3662146669505,98.9559501272332,99.0989513385907,98.3205593786107,99.027450732912,2928.0
