region,ISO3,date,ais_portcalls_container,ais_portcalls_general_cargo,ais_portcalls_dry_bulk,ais_portcalls_roro,ais_portcalls_tanker,ais_import_tanker,ais_export_tanker,ais_import_dry_bulk,ais_export_dry_bulk,ais_import_container,ais_export_container,ais_import_general_cargo,ais_export_general_cargo,ais_import_roro,ais_export_roro,value_import_total,value_export_total,volume_export_total,volume_import_total,trade_value,trade_volume,ObjectId
China,CHN,2023/10/01,6598,2428,6279,444,5578,51962510.6513773,19835317.3783239,202577664.11347,61666302.4902089,82256849.6314009,113608042.056514,3782507.12298451,3500049.37652457,197102.241937201,360222.587036697,131.170619247171,127.334691811726,116.672849455499,116.180311449262,128.65207759292,116.42658045238,2821
China,CHN,2023/11/01,6927,2463,5950,437,5195,46182164.7823205,17113914.2774266,195105357.11682,57881168.3665202,79623507.3927472,116194331.276221,4199950.68174194,3541107.96021051,202268.399722168,360677.807242994,126.302166236973,129.139502025981,118.378032187728,112.026977772214,128.165066015963,115.202504979971,2824
China,CHN,2023/12/01,6713,2426,5809,421,5122,46318915.7630539,15697588.2766715,195549422.845923,57067366.3237239,79657479.8816652,114580573.804467,3683065.61960469,3544269.45763919,210897.554376208,394098.742057976,125.016039196486,127.180481025019,116.631445969231,111.598589339239,126.437139307242,114.115017654235,2826
China,CHN,2024/01/01,7134,2475,6295,403,5567,51377087.630167,16487845.9496921,203078347.763675,63598281.5034246,85518117.0522598,124225422.678364,4040918.2025649,3681959.64012734,195558.779072831,346386.603633711,133.392112620075,137.564085868792,126.26141520692,119.663249688092,136.131290715631,122.962332447506,2829
China,CHN,2024/02/01,5885,1978,5349,364,4933,42580160.1180753,14541951.8733643,170721391.238429,54430552.2080872,71517044.9286667,98328026.7017477,3481071.40682422,2969026.20734951,156311.416379039,337147.640990112,110.13110560192,108.533858892855,100.572032138856,100.159755229511,109.082406835691,100.365893684184,2832
China,CHN,2024/03/01,6998,2721,6449,433,5539,42410708.8978544,20064176.2166554,178009419.996853,83968641.8280832,88891308.7095205,117112821.719428,3996014.08368602,4171503.14178909,154512.261959143,398625.807215939,134.559615234521,134.091375837195,122.146994258037,119.195597039712,134.252184907391,120.671295648875,2835
China,CHN,2024/04/01,6857,2675,6067,421,5394,43228155.0444744,18192357.3198398,173200896.527519,69940787.8658205,86807650.5173779,119947546.670915,4019588.56217836,4158223.0396069,173696.745583202,351714.287235887,132.005272411732,135.178496056744,123.390055153264,116.895831842686,134.088704922568,120.142943497975,2888
China,CHN,2024/05/01,6885,2673,6520,411,5626,42173086.4720141,21101495.6330951,185603947.902364,78979747.502896,91158991.9390428,126300039.406243,3932907.68342168,4499733.15524341,184753.972945738,369917.872150602,137.485823580378,143.389055925047,130.74216161877,122.075431832987,141.361688493094,126.408796725878,2896
China,CHN,2019/01/01,6294,2365,5769,425,4836,45290651.5069071,15301950.2138083,179056012.814012,68534321.4143271,73931861.6488049,101934271.189242,4107229.24112021,3547418.99711998,186095.616737269,300882.229165064,104.179358234728,105.711029506831,105.238335934398,103.498118933529,105.185002362342,104.368227433964,2900
China,CHN,2024/06/01,6533,2500,6123,424,5181,37858992.006029,19494384.006466,170527653.704461,80883776.7201457,91851808.4908612,126463162.413711,3507212.53963967,3993842.76734932,192678.78007605,386240.40136907,134.128463152663,142.26186920118,130.301759450789,120.206683386301,139.46858552694,125.254221418545,2903
