date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,ObjectId
2019/02/05 00:00:00+00,2019,2,5,chokepoint1,Suez Canal,23,17,8,1,19,49,68,1352079.78306281,894237.819708474,32197.0510231864,5572.20227351019,978843.838278116,2284086.85606798,3262930.69434609,36
2019/02/06 00:00:00+00,2019,2,6,chokepoint1,Suez Canal,24,9,3,6,15,42,57,1579166.83017428,847403.268568574,12647.8561927146,24540.9088005966,1274682.82110452,2463758.86373617,3738441.68484068,37
2019/02/07 00:00:00+00,2019,2,7,chokepoint1,Suez Canal,17,11,4,3,21,35,56,869491.423353422,625154.268346515,14297.4391657597,15293.2031426875,946325.230518668,1524236.33400838,2470561.56452705,38
2019/02/08 00:00:00+00,2019,2,8,chokepoint1,Suez Canal,17,9,3,1,18,30,48,1140934.11059735,730920.795833731,10451.475523452,7421.62949882368,1180281.35219539,1889728.01145336,3070009.36364875,39
2019/02/09 00:00:00+00,2019,2,9,chokepoint1,Suez Canal,15,27,4,4,11,50,61,965900.258443039,875131.433471997,3541.13814486023,14105.760612707,381014.232636414,1858678.5906726,2239692.82330902,40
2019/02/10 00:00:00+00,2019,2,10,chokepoint1,Suez Canal,18,8,3,2,12,31,43,1040039.25197955,676753.901176705,1621.694036572,9147.69202139476,565842.146816984,1727562.53921423,2293404.68603121,41
2019/02/11 00:00:00+00,2019,2,11,chokepoint1,Suez Canal,17,14,7,4,21,42,63,827992.511609229,788603.750700226,43808.8210981216,14762.9906200325,1011891.76033347,1675168.07402761,2687059.83436108,42
2019/02/12 00:00:00+00,2019,2,12,chokepoint1,Suez Canal,16,11,7,3,23,37,60,961515.772406512,557261.718395046,29631.986031816,15047.6085119062,1333944.44225356,1563457.08534528,2897401.52759884,43
2019/02/13 00:00:00+00,2019,2,13,chokepoint1,Suez Canal,24,4,0,4,11,32,43,1640663.79780656,333315.888907528,0,20230.789406078,983393.62446901,1994210.47612017,2977604.10058918,44
2019/02/14 00:00:00+00,2019,2,14,chokepoint1,Suez Canal,12,9,8,1,15,30,45,452455.849271644,351874.606418462,33298.6302642186,2120.83967656127,613943.541618653,839749.925630886,1453693.46724954,45
2019/02/15 00:00:00+00,2019,2,15,chokepoint1,Suez Canal,17,8,4,0,7,29,36,1268842.0486945,300266.104874561,14970.5872511587,0,373904.364657067,1584078.74082022,1957983.10547729,46
2019/02/16 00:00:00+00,2019,2,16,chokepoint1,Suez Canal,17,7,4,5,19,33,52,1120728.41007589,209917.991105195,29388.4580440747,15573.574778581,660190.480805703,1375608.43400374,2035798.91480944,47
2019/02/17 00:00:00+00,2019,2,17,chokepoint1,Suez Canal,21,4,7,1,17,33,50,1391568.42457789,116950.01551155,24354.5150132817,5328.64139216286,746841.87422038,1538201.59649489,2285043.47071527,48
2019/02/18 00:00:00+00,2019,2,18,chokepoint1,Suez Canal,12,9,3,4,17,28,45,605596.24463662,466052.436425134,9453.790338672,19526.1733500332,898098.103744786,1100628.64475046,1998726.74849524,49
2019/02/19 00:00:00+00,2019,2,19,chokepoint1,Suez Canal,16,9,6,2,14,33,47,831623.97259156,431794.72542261,17297.5924330562,5781.13687012289,561868.829543847,1286497.42731735,1848366.2568612,50
2019/02/20 00:00:00+00,2019,2,20,chokepoint1,Suez Canal,16,12,2,1,19,31,50,1220269.27288156,587971.231906057,11526.0645408444,0,759450.68658908,1819766.56932846,2579217.25591754,51
2019/02/21 00:00:00+00,2019,2,21,chokepoint1,Suez Canal,20,7,7,4,12,38,50,1216587.80726981,585219.216530675,42574.2825943264,16726.7793113467,873477.804710874,1861108.08570616,2734585.89041703,52
2019/02/22 00:00:00+00,2019,2,22,chokepoint1,Suez Canal,19,11,3,4,20,37,57,987961.755797903,569943.087756739,23773.8822857912,7361.32498166367,1279196.08325798,1589040.0508221,2868236.13408008,53
2019/02/23 00:00:00+00,2019,2,23,chokepoint1,Suez Canal,21,13,4,6,14,44,58,1334848.67115614,699726.969471881,51106.5118482334,18957.5477098412,1050150.1968948,2104639.7001861,3154789.8970809,54
2019/02/24 00:00:00+00,2019,2,24,chokepoint1,Suez Canal,16,9,1,4,15,30,45,765486.305955164,478194.68257073,0,17578.4418501121,1024054.51465476,1261259.43037601,2285313.94503077,55
2019/02/25 00:00:00+00,2019,2,25,chokepoint1,Suez Canal,11,17,6,1,14,35,49,781551.661120682,520837.303808545,24293.7823538278,3452.78066714018,481337.869562749,1330135.52795019,1811473.39751294,56
2019/02/26 00:00:00+00,2019,2,26,chokepoint1,Suez Canal,21,7,4,3,14,35,49,1139887.31533921,351029.172338258,34450.3614001602,8206.9354941248,603130.045365311,1533573.78457176,2136703.82993707,57
